Wavelength nm.,Baseline,2,4,6,8,10,12,16,20,24,32,40,48
300,-0.0001,-0.001,-0.0014,-0.0005,-0.0013,0.0001,0.0004,0,0.0018,0.0023,0.005,0.0082,0.0105
300.5,-0.0001,-0.001,-0.0016,-0.0007,-0.0014,-0.0002,0.0003,-0.0003,0.0014,0.002,0.0045,0.0074,0.0097
301,0,-0.0011,-0.0015,-0.0008,-0.0015,-0.0005,0,-0.0007,0.0009,0.0015,0.0039,0.0067,0.0088
301.5,-0.0001,-0.0012,-0.0017,-0.0011,-0.0019,-0.0007,-0.0005,-0.0013,0.0004,0.0009,0.0032,0.0059,0.0078
302,-0.0001,-0.0013,-0.0019,-0.0012,-0.0021,-0.0011,-0.0008,-0.0016,-0.0002,0.0005,0.0025,0.005,0.0069
302.5,0,-0.0012,-0.0019,-0.0013,-0.0022,-0.0012,-0.001,-0.0019,-0.0005,0,0.002,0.0044,0.0062
303,0,-0.0013,-0.0018,-0.0013,-0.0024,-0.0015,-0.0012,-0.0023,-0.0009,-0.0003,0.0014,0.0038,0.0055
303.5,0.0002,-0.0013,-0.0019,-0.0015,-0.0027,-0.0015,-0.0015,-0.0026,-0.0014,-0.0009,0.0009,0.0032,0.0047
304,0.0001,-0.0014,-0.0022,-0.0019,-0.003,-0.002,-0.0019,-0.003,-0.0016,-0.0013,0.0004,0.0026,0.0041
304.5,0,-0.0014,-0.0022,-0.0018,-0.0031,-0.0022,-0.0022,-0.0032,-0.0019,-0.0015,-0.0001,0.002,0.0035
305,0,-0.0015,-0.0022,-0.0019,-0.0032,-0.0022,-0.0023,-0.0034,-0.0023,-0.0019,-0.0006,0.0014,0.0029
305.5,-0.0002,-0.0016,-0.0026,-0.0024,-0.0036,-0.0025,-0.003,-0.004,-0.003,-0.0026,-0.0013,0.0009,0.0022
306,-0.0001,-0.0017,-0.0025,-0.0025,-0.0037,-0.0024,-0.0031,-0.0041,-0.0032,-0.003,-0.0013,0.0007,0.0016
306.5,0.0001,-0.0016,-0.0025,-0.0025,-0.0035,-0.0025,-0.0033,-0.0041,-0.0035,-0.003,-0.0016,0.0004,0.0015
307,0.0004,-0.0016,-0.0024,-0.0024,-0.0036,-0.0026,-0.0033,-0.0043,-0.0034,-0.0035,-0.0018,0.0001,0.0011
307.5,0.0003,-0.0016,-0.0026,-0.0027,-0.0036,-0.0028,-0.0034,-0.0048,-0.0036,-0.0037,-0.0022,-0.0002,0.0008
308,0.0003,-0.0017,-0.0026,-0.0028,-0.004,-0.0029,-0.0037,-0.0049,-0.0041,-0.0039,-0.0025,-0.0005,0.0003
308.5,0.0003,-0.0016,-0.0026,-0.0028,-0.0043,-0.0032,-0.0041,-0.0052,-0.0043,-0.0043,-0.0029,-0.001,0
309,0,-0.0019,-0.0027,-0.0029,-0.0046,-0.0034,-0.0045,-0.0057,-0.005,-0.0049,-0.0032,-0.0014,-0.0006
309.5,0.0001,-0.002,-0.0031,-0.0031,-0.0046,-0.0038,-0.0047,-0.006,-0.0053,-0.0048,-0.0036,-0.0018,-0.001
310,0.0001,-0.0018,-0.003,-0.0036,-0.0048,-0.0038,-0.0048,-0.0061,-0.0056,-0.0052,-0.0039,-0.0019,-0.0013
310.5,0.0002,-0.0021,-0.0032,-0.0037,-0.005,-0.004,-0.0048,-0.0063,-0.0056,-0.0056,-0.0042,-0.0022,-0.0016
311,0.0002,-0.0021,-0.0032,-0.0035,-0.005,-0.0042,-0.0052,-0.0066,-0.0059,-0.0059,-0.0045,-0.0027,-0.0018
311.5,0.0001,-0.0021,-0.0034,-0.0037,-0.0053,-0.0043,-0.0054,-0.0068,-0.0064,-0.0062,-0.005,-0.003,-0.0021
312,0.0003,-0.0022,-0.0034,-0.0038,-0.0056,-0.0046,-0.0058,-0.007,-0.0065,-0.0064,-0.0051,-0.0033,-0.0023
